
gene	XY_Blood_007.886	XY_Blood_1.888	XY_Blood_3.885	XY_Blood_5.609	XY_Blood_7.604	XY_Blood_881	XY_Blood_999	XZ_Blood_10
LOC100848368	0.376145995	0.302875966	1.384367734	0.20921556	0.285389056	2.968158246	0.226754585	76.76527923
OLIG2	0.26896662	0.054143555	2.248497953	0	0.72153337	1.828426321	0.121607199	0.065607624
LOC112447133	0	0	0	0	0	0	0	0
C1H21orf62	0	0	0	0	0	0	0	0
PAXBP1	57.18546641	39.10751142	19.71383773	20.21112762	23.68545848	16.52621928	59.58177687	13.2750383
SYNJ1	40.21070714	34.07330487	15.20625103	20.86627944	20.19595367	11.26394096	22.99631482	31.2192576
LOC112447136	0.211101013	1.104872192	0	0.140899387	0.137285415	0.135064264	0	0.463434916
CFAP298	14.93320319	29.65186542	28.16908574	30.07101236	38.15238668	26.61580989	26.08824556	28.6698172
LOC112447137	0	0	0	0.094161551	0	0	0	0
EVA1C	16.74413587	2.260542463	2.319508302	6.112155035	4.368729485	5.666580039	5.893191025	1.744595356
LOC104970779	0.361150478	0	0	0.065740885	0	0.021006111	0.029688373	0
URB1	13.18518994	7.490331977	5.721932033	6.75831064	6.460046613	5.073889223	11.14115544	15.82996916
MRAP	0	0	0	0	0	0	0	0.426284714
MIS18A	3.581078081	5.550765675	5.987394815	5.736457989	5.414655499	4.467849565	4.290625036	1.441297588
HUNK	0.336570839	0.542019425	0.252167049	0.435248198	0.218882262	0.363387854	0.057064846	0.369440858
LOC112447138	0	0	0	0	0	0	0	0
SCAF4	76.28553585	50.03261691	41.9858343	47.41253417	38.53117324	39.08346993	65.61082879	30.90223095
SOD1	12.78281909	26.97103995	37.48735826	27.01766288	31.71277059	34.0016011	26.00758667	141.17821
TIAM1	101.8820888	82.156586	42.5366387	60.15108049	64.4439803	27.60769077	44.6906716	74.51826852
MIR2284I	0	0	0	0	0	0	0	0
MIR2284X	0	0	0	0	0	0	0	0
KRTAP11-1	2.297486674	3.977405141	10.7990986	24.15195798	1.045887864	0.367487989	0.415502739	0.280206968
KRTAP7-1	0	0	0	0	0	0	0	0
KRTAP8-1	0	0	0	0	0	0	0	0
LOC112446888	0	0	0	0	0	0	0	0
LOC112446904	0	0	0	0	0	0	0	0
LOC112446920	0	0	0	0	0	0	0	0
LOC112446936	0	0	0	0	0	0	0	0
LOC101907866	0	0	0	0	0	0	0	0
LOC112446952	0	0	0	0	0	0	0	0
LOC101907950	0	0	0	0	0	0	0	0
LOC112446968	0	0	0	0	0	0	0	0
LOC112446980	0	0	0	0	0	0	0	0
LOC785105	0	0	0	0	0	0	0	0
LOC112446981	0	0	0	0	0	0	0	0
LOC112446982	0	0	0	0	0	0	0	0
LOC112446983	0	0	0	0	0	0	0	0
LOC112446984	0	0	0	0	0	0	0	0
LOC112446985	0	0	0	0	0	0	0	0
LOC618359	0	0	0	0	0	0	0	0
LOC614544	0	0	0	0	0	0	0	0
LOC112446986	0	0	0	0	0	0	0	0
KRTAP13-1	0	0	0	0	0	0	0	0
LOC785121	0	0	0	0	0	0	0	0
LOC785155	0	0	0	0	0	0	0	0
KRTAP13-2	0	0	0	0	0	0	0	0
LOC112447012	0	0	0	0	0	0	0	0
KRTAP27-1	0	0	0	0	0	0	0	0
LOC528816	0	0	0	0	0	0	0	0
KRTAP24-1	0	0	0	0	0	0	0	0
CLDN8	0	0	0	0	0	0	0	0
CLDN17	0	0	0	0	0	0	0	0
GRIK1	0	0	0	0	0	0	0	0
LOC112448281	0	0	0	0	0	0	0	0
BACH1	134.4738251	121.0360996	51.90318632	93.46239042	92.38088941	41.22517039	65.19472198	79.23717833
LOC104970784	0.306447241	0	0.386690892	0.818152933	0.298937953	2.548878931	0.415659651	1.943501984
LOC112447173	0	0	0.206443041	0.109197025	0	0.732723633	0	0.319255165
MAP3K7CL	0	0	0	0	0	0	0	0
LOC100851369	0.219554192	0.441967273	0.277044774	0	0.142782774	0	0.794131858	0.267773542
CCT8	85.637701	107.4916693	100.3729118	72.73914552	90.71799898	75.99468218	147.1624681	55.75015441
USP16	59.1581114	30.40990269	25.60604987	25.77159007	28.35477848	20.39457254	39.1966627	11.96208918
RWDD2B	20.44462549	17.8773574	12.53696176	13.59788691	13.78560617	14.11333205	21.60077966	8.626550001
LTN1	49.84473546	19.76140669	10.58484434	15.58384021	12.07905712	9.332341573	22.53617434	10.31541387
LOC615183	0.133606476	0.04303243	0.101154915	0.089175652	0.069510687	0.051289551	0.144977181	0.052143889
N6AMT1	0.598683184	1.583927232	0.755449239	1.255857854	1.112405425	0.930246578	4.021548007	1.376888842
LOC112448287	0	0	0	0	0	0	0	0
LOC104970788	0	0	0	0	0	0	0	0
LOC112447279	0	0	0	0	0	0	0	0
LOC526789	0.879485867	0	0	0	0	0	0	0
LOC112448320	0	0	0	0	0	0	0	0
LOC104970790	0	0	0	0	0	0	0	0
ADAMTS5	0	0	0	0	0.070176215	0.12082145	0	0
ADAMTS1	0.381062359	0.441074829	0.240422043	0.222547587	0.650518186	0.731421035	0.689155047	0.046475276
CYYR1	0.197063653	0.043275637	0.067817742	0.167402009	0.093204722	0.011462094	0.032399233	0.139836243
LOC112448359	0	0	0	0	0	0	0	0
LOC107132174	0	0	0.043329277	0	0	0.263635933	0	0
APP	98.04363872	89.55220805	73.71091197	96.32254578	85.43002423	59.83097127	72.92545483	19.88872208
TRNAR-CCU	0	0	0	0	0	0	0	0
LOC112448277	0	0	0	0	0	0	0	0
GABPA	59.22467591	37.83847224	20.42754795	29.35935706	26.74470277	21.62520918	44.2453244	19.62034238
ATP5PF	40.35637537	64.78876165	82.28982862	55.87937359	74.87698048	71.20645861	67.99835798	47.97637229
JAM2	0.671748587	1.036720584	0.635735192	1.232986271	0.873717109	0.214895295	1.721057287	0.65542451
TRNAQ-UUG	0	0	0	0	0	0	0	0
MRPL39	33.49769671	45.30795931	42.62531731	36.48882392	42.40648397	44.12848958	48.92419479	15.05652372
MIR155	0	0	0	0	0	0	0	0
LOC112448274	0	0	0	0	0	0	0	0
LOC112448280	0	0	0	0	0	0	0	0
NCAM2	0.503740461	0.233013515	0.196103438	0.150226676	0.18122429	0.157720067	0.319826033	0.010457428
TRNAC-GCA_1	0	0	0	0	0	0	0	0
LOC112448283	0	0	0	0	0	0	0	0
TMPRSS15	0	0	0	0	0	0	0	0
CHODL	0	0	0	0	0	0	0	0
C1H21orf91	131.8375193	74.53297662	43.53969412	64.59133486	54.60199528	38.95826601	72.11494134	46.55883351
LOC112448355	0	0	0	0	0	0	0	0
LOC112447286	0	0.062157954	0	0	0	0	0	0
BTG3	11.38834024	17.82736946	16.20016415	13.59708557	16.92842131	13.07924094	17.71761338	10.5249567
CXADR	0.1510559	0.152039375	0.214436368	0.226850111	0.392944999	0.072485159	0.239037828	0.294770219
MIR125B-2	0	0	0	0	0	0	0	0
MIRLET7C	0	0	0	0	0	0	0	0
MIR99A	0	0	0	0	0	0	0	0
LOC112447287	0	0	0	0	0	0	0	0
USP25	63.90222786	45.12440648	21.50348461	36.23759262	27.83675914	22.40432472	37.24340092	17.56653659
LOC107132175	4.7812293	1.842150059	0.567639887	1.526987282	0.852571649	0.476952101	1.766571071	0.225727803
NRIP1	57.42956487	15.09173804	7.807954664	14.20602141	10.42839189	10.54245181	15.92399818	5.491545298
LOC104976614	0	0	0	0	0	0	0	0
LOC112447289	0	0.142291903	0.111493628	0.235896011	0	0	0	0.862100183
SAMSN1	328.2929692	261.9582735	226.5074489	234.9797275	199.045765	393.0727097	187.4122185	335.2717299
LOC112447288	3.250304681	2.271508703	1.006004178	2.906198925	1.675064663	2.903555043	1.552734237	1.436069181
HSPA13	65.79240077	33.15972148	21.12623734	24.08351196	17.85440279	17.84783838	32.27345728	16.57457395
LOC518080	0.672964055	0.459773916	0	0.462781117	0.689628743	0.352283118	0.958897454	1.930036751
RBM11	18.46554782	7.699091941	16.21478807	20.05739661	4.737682	10.1636364	4.025713815	3.03571058
LIPI	0.688021566	0.079142977	0.062012929	0	0	0.125772052	0	0.191800583
ROBO2	0.022468499	0	0	0	0	0	0.020317251	0
TRNAG-UCC	0	0	0	0	0	0	0	0
ROBO1	0	0	0	0.016661045	0	0	0	0
LOC100848584	0	0	0	0	0	0	0	0
TRNAC-GCA_2	0	0	0	0	0	0	0	0
TRNAC-ACA	0	0	0	0	0	0	0	0
TRNAS-GGA	0	0	0	0	0	0	0	0
GBE1	36.5299605	60.55763906	28.92852856	37.76987354	32.43310718	27.71336182	38.71339148	66.71498184
TRNAC-GCA_3	0	0	0	0	0	0	0	0
LOC112446987	0	0	0	0	0	0	0	0
LOC112448288	0	0	0	0	0	0	0	0
LOC112446988	0	0	0	0	0	0	0	0.110951907
CADM2	0	0	0	0	0.00694814	0	0	0.114668223
VGLL3	0.109965529	0	0	0	0	0	0	0
LOC101902812	0	0	0	0	0	0	0	0
CHMP2B	52.00151797	55.05092358	30.97910584	40.62682436	40.31233661	35.92210109	35.70722417	29.10855913
POU1F1	0	0	0	0	0	0	0	0
HTR1F	0.034101206	0	0	0	0	0	0	0
CGGBP1	144.2277777	105.8511269	55.33156453	74.11802164	62.94461412	57.56450186	124.8178794	72.48054306
ZNF654	39.33100294	20.31073419	7.666121996	11.3741092	9.810183036	8.373415726	23.76830286	10.47085831
LOC104970809	0.597608229	0.192479699	0.201091415	0.212732617	0.129547607	0.076470989	0.648468237	0.330415302
C1H3orf38	36.41712349	11.82597578	5.958089513	10.6675149	7.311922397	7.660957377	12.16410537	16.5782789
LOC101904492	2.101133616	2.275247522	1.142809691	0.773738917	0.612538102	1.205255609	2.489603373	3.145803568
LOC112447291	0.02586943	0	0	0	0.033647356	0	0	0.075722342
EPHA3	0.885743528	0	0	0.065687731	0.042668591	0.041978253	0.059328738	0
PROS1	0	0	0.053734125	0.710559984	0.027693384	0.108981325	0	0.290841187
ARL13B	10.60257009	7.159215058	3.713426058	4.764225738	4.180538612	2.750836638	7.775629336	2.199313356
STX19	1.288051259	0.475360356	0	0.358212462	0.139609824	0	0.582363362	0.104729207
NSUN3	13.14662306	7.380906014	5.884813121	5.28629591	6.667157606	4.038464326	18.06815223	2.883166439
LOC782966	152.9080254	134.2683383	148.6448585	154.1222482	112.75577	92.52746848	63.69056025	0.070340512
EPHA6	0	0	0	0	0	0	0	0
LOC112448282	0	0	0	0	0	0	0	0
LOC112448361	0	0	0	0	0	0	0	0
ARL6	1.222431556	1.051424527	0.438217904	0.445042927	0.560102682	1.04875496	1.331492239	0.487933119
LOC101905242	16.44482947	21.20986359	35.80913006	22.14647259	27.63553427	28.30574921	21.84489255	0.425978914
CRYBG3	1.384071302	1.324889681	0.732794	1.627952588	1.54843014	0.489214879	1.374083019	0.387188277
RIOX2	4.886357247	6.851520564	5.474855729	6.15729734	6.739014894	4.446940417	9.78929111	3.452410501
GABRR3	0	0	0	0	0	0	0	0
LOC783514	0	0	0	0	0	0	0	0
LOC101905600	0	0	0	0	0	0	0	0
LOC100140741	0	0	0	0	0	0	0	0
LOC783578	0	0	0	0	0	0	0	0
LOC783655	0	0	0	0	0	0	0	0
OR5AC2	0	0	0	0	0	0	0	0
OR5H6	0	0	0	0	0	0	0	0
OR5K3	0	0	0	0	0	0	0	0
LOC783812	0	0	0	0	0	0	0	0
LOC783843	0	0	0	0	0	0	0	0
LOC783884	0	0	0	0	0	0	0	0
LOC100139155	0	0	0	0	0	0	0	0
LOC783917	0	0	0	0	0	0	0	0
LOC783995	0	0	0	0	0	0	0	0
LOC789957	0	0	0	0	0	0	0	0
OR5K4	0	0	0	0	0	0	0	0
LOC785903	0	0.083512834	0	0	0	0	0	0
LOC112448299	0	0	0	0	0	0	0	0
LOC785875	0	0	0	0	0	0	0	0
LOC785848	0	0	0	0	0	0	0	0
OR5K1	0.788602812	0	0.124387449	0.131588251	0.256426207	0	0	0
CLDND1	62.90445698	64.8304524	41.53469923	56.23698419	47.83601172	43.13255554	83.08801778	45.10725111
LOC100848517	1.087348019	1.250774151	0.147007678	1.192304418	0.858664555	0.795079681	1.826016821	0.454681934
GPR15	25.36758198	52.71652806	27.75126274	50.86745116	53.33894465	13.74591783	56.01783393	18.32433266
LOC112448337	0	0	0.392621734	0	0	0	0	0
CPOX	27.70317928	31.21408012	22.39451821	25.07130547	22.0198254	17.01697655	38.70686785	20.06130426
LOC100848540	2.325135511	9.127067424	11.91927586	1.648906359	2.882452826	3.57963838	2.628144113	2.233185303
LOC112448314	0	0	0	0	0	0	0	0
ST3GAL6	45.57053858	39.08809162	15.86334826	23.87484503	23.45699316	22.42455696	32.47269219	15.91402544
DCBLD2	7.291098808	4.443911069	1.235223253	2.286778288	2.0634843	2.343252617	6.089379299	1.852583006
LOC104970815	0	0	0	0	0	0.362055113	0	0.483112767
LOC112447292	0	0	0	0	0	0	0	0
COL8A1	0	0.031979464	0	0	0	0	0	0
CMSS1	0.918274705	5.289572662	4.456639463	4.054585898	3.399343655	5.468456721	5.109873512	2.791259465
FILIP1L	0.140231387	0.715131562	0.442377945	0.623982998	0.288789676	0.299070871	0.317012314	1.470854151
TMEM30C	0.959511158	0.386303287	0.086482896	0.228723497	0.267428277	0.131550768	0.185923438	0.066871014
TBC1D23	102.4802877	141.0472337	53.17159313	89.22787916	71.37489239	60.41339556	82.61623203	108.0289336
NIT2	8.937835197	20.36309871	18.31617936	9.85010865	13.42743254	11.4370094	20.36183374	12.20213302
TOMM70	78.76851821	40.64021941	41.2053842	45.33751791	39.05360499	46.33035622	47.24508299	20.83800008
LNP1	1.325069061	1.387043993	1.797443328	1.193963547	1.788095449	1.822750029	2.096850447	0.597951786
LOC529036	0	0	0	0	0	0.101324557	0	0
TMEM45A	0	0.159626486	0.16676832	0.264633832	0	0.338232594	0.119507791	0
ADGRG7	0	0	0	0	0	0	0	0
TFG	38.29758454	55.90089015	45.57187825	44.91510811	51.26530661	37.56924601	58.21918156	53.16040083
ABI3BP	0.152992514	0.219006005	0.04290085	0.034038288	0	0.010876216	0.061486328	0.041465184
IMPG2	12.08890708	4.436626583	1.526922932	1.991701115	1.535683807	1.044808278	4.738025756	2.538991878
SENP7	82.23787493	46.01688745	26.52902843	30.79794773	26.87729672	24.25701521	50.44903252	15.72825217
LOC524181	11.97504815	8.479850787	5.983563997	6.764546908	6.278058563	5.107826643	6.01583141	4.170899876
TRMT10C	30.76593949	25.61501308	22.95292649	17.88982615	25.41269974	17.53629556	34.2900793	15.86835016
PCNP	109.6948455	124.2462642	77.21925404	76.75619399	79.70730563	70.15589871	146.2130183	57.54461446
ZBTB11	73.41165554	44.27389692	21.06592795	32.20254222	27.2221803	22.71112318	56.46693606	21.60059931
RPL24	592.4042286	693.7233824	1130.000267	844.003819	843.9052787	1267.461807	619.4163632	783.2209892
CEP97	16.36625532	11.28913859	4.217743221	5.518428425	5.395267061	2.95691374	12.42218296	2.937218687
NXPE3	80.26007974	54.70032142	31.38792116	46.92860192	40.29020109	46.8823757	41.6395432	43.94907168
NFKBIZ	19.93333825	36.23025775	11.4431124	16.95938022	12.34147253	8.082174584	27.24682054	20.91891881
LOC112448293	0	0	0	0	0	0	0	0
LOC112446989	2.889858594	1.628857164	0.729314447	1.157301799	1.59745856	0.924478332	4.181070293	0
ZPLD1	0.16143348	0.151652219	0	0.053874394	0.052492553	0.068857696	0.097318015	0
TRNAF-AAA	0	0	0	0	0	0	0	0
LOC112448303	0	0	0	0	0	0	0	0
ALCAM	15.91041113	12.2122337	8.174034196	8.867892812	7.001038774	7.125733601	10.1083166	10.67511489
LOC112447293	0.213096716	0.171587294	0	0.142231419	0.277166562	0	0.963468798	0
CBLB	30.65078204	15.26947627	7.843786142	13.83295942	7.153574251	8.953080517	30.35821887	12.00430073
LOC112446991	0	0	0	0	0	0	0	0
LOC100848469	0.378132476	0.304475497	0.447325322	0	0.430344354	0.030241556	0.427410203	0.368943527
MIR2286	0	0	0	0	0	0	0	0
CCDC54	0	0.239693476	0	0	0	0	0	0
BBX	73.98259871	30.11574554	18.8649607	25.98247174	18.552212	13.53825159	37.95274798	13.61712452
LOC101910021	0.184224549	0.148339179	0.116232006	0.122960689	0	0	0	0
LOC112447295	2.898115333	0.911798973	0.20585711	0.819855806	0.386931863	0.319273009	1.093377571	0.430707535
LOC112447294	2.095300545	0.821946763	0.101690693	0.412380712	0.139757716	0.189057778	1.044506322	1.520182166
LOC112447296	3.823045758	0.777862401	0.194520798	0.932876708	0.294071756	0.184108876	1.022233561	0.11029991
CD47	361.8881132	293.3532613	154.9691946	255.5397969	198.2527127	146.61122	238.851575	194.5871708
LOC112447297	0	0	0	0	0	0	0	0
IFT57	20.00821197	20.03651184	15.34018701	20.32755098	18.5708517	16.73098034	22.84467515	3.861154066
HHLA2	0.051108853	0	0.04299452	0.011370869	0	0.021799926	0.015405144	0.033244575
MYH15	0	0	0.02149726	0.204675646	0.022158429	0.130799554	0.030810289	0.049866863
CIP2A	21.43718434	7.704408512	4.331773331	6.020677711	4.702501193	4.194152662	11.52513343	1.532194903
DZIP3	5.431141453	2.533343237	0.876068285	0.973709736	0.937304214	0.494806563	3.830368622	0.574504399
TRAT1	168.6071088	58.24658482	46.73362183	55.07230788	43.35887545	54.86280135	78.89784487	41.81369314
MORC1	0	0	0	0	0	0	0	0
C1H3orf85	0	0	0	0.210582131	0	0	0	0
DPPA2	0	0	0	0	0	0	0	0
DPPA4	0	0	0.041597233	0.02200265	0	0	0	0
LOC112446992	0	0	0	0	0	0	0	0
LOC614129	15.71741463	8.937340762	5.213841018	7.083851705	5.374197649	5.805605784	10.98908501	8.260599886
LOC112448372	0	0	0	0	0	0	0	0
LOC112446993	0	0	0	0	0	0	0	0
TRNAE-UUC	0	0	0	0	0	0	0	0
LOC112448254	0	0	0	0	0	0	0	0
NECTIN3	0.097669986	0.042347149	0.023700964	0.10029206	0.039087855	0.03845545	0.122287248	0.029322006
CD96	70.0433648	34.06606167	46.82299807	50.90951904	44.21069106	62.74009567	77.40254659	39.40478757
ZBED2	0	0	0	0	0	0	0	0.029091447
LOC104970843	0.164665644	0.099442636	0.077918843	0.054953048	0.05354354	0.052677256	0.409474239	0
PLCXD2	5.006654743	3.354210391	0.70472524	2.175169646	0.6580327	0.554902579	5.216486432	0.570556419
PHLDB2	0	0.070960514	0.018533838	0	0.009551932	0	0	0.014330886
LOC112447299	0	0	0	0	0	0	0	0
LOC112447298	0	0	0	0	0	0	0	0
ABHD10	16.04240438	17.7832585	12.75408035	12.09995966	15.8598245	11.78296809	21.14164865	10.59881862
TAGLN3	0	0.158901852	0.124508449	0	0	0.252522875	0.535343752	0
LOC112447300	0	0	0	0	0	0	0	0
TMPRSS7	0.18008706	0	0	0	0	0.144026584	0.040711154	0
C1H3orf52	1.463430646	0.331415676	0.288536261	0.122095862	0.208187327	0	0.08270715	0.290035688
GCSAM	36.91706707	21.09126041	19.85359505	12.67215384	12.57577225	10.01032188	14.30676024	32.50371689
SLC9C1	0	0	0	0	0	0	0	0.007644763
CD200	3.803009639	1.25122797	0.8385058	0.573168821	0.491983218	0.183143984	1.44211528	1.84532188
LOC104970846	0	0	0	0	0	0	0	0
BTLA	66.03423863	19.29973196	10.11143697	23.23001803	10.20106261	29.09175096	25.64939305	10.84896186
ATG3	93.57042078	125.6792534	89.76304809	113.7484419	129.1809245	95.29703331	104.9278404	181.1102311
SLC35A5	38.62371418	38.93617515	23.00800618	34.09495289	32.77997449	23.59422703	38.97106854	55.27557329
CCDC80	1.780335236	0.707697519	0.62561277	0.345956359	0.146557747	0.461397051	0.122269135	0
LOC112447301	0	0	0	0	0	0	0	0.515464068
LOC100335828	1.134133184	0.799062005	0.245971618	0.354833099	0.391829458	1.020414763	1.474221719	1.83276113
CD200R1L	20.1629657	17.57535726	10.89004763	14.69764453	11.09914079	11.885243	31.63559539	9.100172967
GTPBP8	7.726371121	3.13113492	0.930054091	2.103499686	1.471045381	1.479767598	4.458559893	0.644749844
NEPRO	20.58912871	9.989096297	7.925672965	8.349700542	8.169434562	8.003911072	16.5439376	3.432895334
BOC	0.015699433	0.05056527	0	0.104785877	0	0	0	0.245086769
CFAP44	0.018680301	0.015041538	0.011785883	0.062340843	0.012148369	0.011951819	0	0.027339531
SPICE1	21.1920298	17.14875825	12.41871645	10.44453865	10.65581276	7.452875063	23.41439135	6.110682993
SIDT1	85.62346819	40.55877301	26.54140807	23.38396809	27.54966895	16.35596797	40.56944768	8.476983982
LOC112448360	5.687889906	0	0	0	0	0	1.714434197	0
USF3	40.91857846	13.84702015	5.524517354	10.79707309	6.968873873	4.000970974	14.58131247	7.988424906
LOC101908760	7.20619505	2.497274074	2.589820523	2.678862257	1.957613469	2.684645172	3.381844794	2.314025743
LOC112447302	2.256178758	1.236361462	0.33609973	0.564707504	0.652116322	0.220538205	1.671798438	0.58091224
NAA50	51.48666434	31.58463264	21.23198078	32.22140773	21.67787703	21.27620848	39.33352544	14.66928198
LOC112447303	0.705971859	0.090952731	0	0.075392155	0.073458398	0	0.204281135	0.440842321
ATP6V1A	103.7522692	122.3394725	46.7325431	76.87979447	87.38267396	48.9318945	71.19108294	80.62999134
GRAMD1C	6.144307181	3.582635182	9.42415177	8.590926225	3.513574651	7.625135907	6.897128488	5.465264978
ZDHHC23	25.38783505	16.86675039	8.902323236	13.35476183	11.59548039	9.317147084	20.00220436	5.125857124
CCDC191	3.767980559	1.855080465	0.978095664	1.52333442	2.01635585	1.033194316	2.667362651	1.449558049
QTRT2	3.909964253	3.601334659	2.342664791	2.835004282	3.914766314	1.763738529	5.443304804	4.391307866
DRD3	0	0	0	0	0.067796137	0	0	0
LOC112448369	0	0	0	0	0	0	0	0
TIGIT	12.75695851	8.813908497	7.520071444	10.57113322	9.157500491	7.919919412	28.49670121	7.238747197
MIR568	69.06147176	33.88666522	9.531519125	13.68447818	11.22819434	15.18898231	40.00650438	8.422902215
ZBTB20	0.355908901	1.031691184	0.044910416	0.997715972	0.324041749	0.364341777	0.965497153	0.069452001
LOC112446994	0	0	0	0	0	0	0	0
TRNAS-GGA_1	2.817612129	1.134382668	0	0	0	0	0	0
LOC112446995	0	0	0	0	0	0	0	0
GAP43	0	0	0	0.091181354	0	0	0	0
LSAMP	0	0	0	0	0	0	0	0
TRNAK-UUU	0	0	0	0	0	0	0	0
TRNAC-GCA_4	0	0	0	0	0	0	0	0
TRNAR-GCG	0	0	0	0	0	0	0	0
IGSF11	0	0	0	0.150198902	0.036586601	0.107983992	0.050872008	0
LOC101901963	0	0	0	0	0	0	0	0
C1H3orf30	0	0	0	0	0	0	0	0
UPK1B	0.088743689	0.17864294	0	0.118463964	0.201994528	0.482621366	0.16049384	0.17317428
B4GALT4	12.46379012	16.33511041	13.66392066	12.53743615	14.28536991	11.59404591	15.50685188	22.44593337
LOC101902067	10.53860121	3.606452949	4.321898468	2.461896554	3.598125913	1.517104962	8.814863619	3.598876401
ARHGAP31	19.71178698	7.179377413	4.778449432	5.846563091	7.435412578	4.48068658	8.09284037	12.41070562
TMEM39A	29.04701959	24.29641423	19.26384659	14.70299331	17.49088985	15.73294035	31.31526625	16.04499062
POGLUT1	28.91688061	14.88602804	7.638392515	12.42116154	8.591492854	9.760925542	18.49238499	6.564684322
TIMMDC1	9.445989488	12.2264534	5.848321134	5.715499615	5.13831587	3.163019339	10.29779601	4.306749392
CD80	35.51105927	39.49370135	20.93330574	37.80393113	19.30193935	21.69618935	45.03404327	46.48379666
LOC112447304	6.842093535	5.647044916	1.079213199	4.452586937	0.778683798	0.328322322	6.651021704	1.919299598
ADPRH	28.91665521	19.59659282	13.23895856	23.64840013	16.4284928	13.94806194	18.9743315	16.88641931
PLA1A	0.021769296	0.192817056	0.116745877	0.1961539	0.226515778	0.153210037	0.127952461	0.233643119
LOC104970868	0	0.183403186	0.143706608	0.456077393	0.296252882	0.048576631	0	0
POPDC2	0	0	0.025476649	0.296466444	0.131301038	0	0	0
COX17	64.14892272	116.9191122	214.4933769	138.9594465	217.3251621	141.9466827	161.0374304	55.02049338
