gene	HZ_Blood_10	HZ_Blood_1	HZ_Blood_2	HZ_Blood_3	HZ_Blood_4	HZ_Blood_5	HZ_Blood_6	HZ_Blood_7	HZ_Blood_8	HZ_Blood_9
HUNK	0.400080407	0.277953269	0.239160476	0.271120143	0.11539525	0.081123923	0.327665651	0.069642438	0.063813178	0.027173118
LOC112447138	0	0	0.685020384	0	0	0	0	0	0	0.252951301
SCAF4	33.56470732	35.55377671	33.90912949	30.61966622	33.44519586	37.74113338	48.29606639	37.91399038	42.12657329	32.01117049
SOD1	21.99932959	35.67722381	34.57314663	33.30643993	26.70178088	27.66100495	25.50375587	23.41306447	25.94147159	25.7623669
TIAM1	30.94447232	40.80486151	39.48961802	25.10416172	21.20771781	26.446618	28.63824143	32.32484958	26.52322315	20.79579378
MIR2284I	1.138835727	1.087898267	2.304159473	3.772990849	0	2.032101602	23.93945102	1.090311159	0.999049169	0
MIR2284X	0	0	0	0	0	0	0	0	0	0
KRTAP11-1	0.397238283	1.612750659	2.51161211	0	0.315082614	0.708819132	0	1.426171448	28.31393596	4.154932814
KRTAP7-1	0	0	0	0	0	0	0	0	0	0
KRTAP8-1	0	0	0	0	0	0	0	0	0	0
LOC112446888	0	0	0	0	0	0	0	0	0	0
LOC112446904	0	0	0	0	0	0	0	0	0	0
LOC112446920	0	0	0	0	0	0	0	0	0	0
LOC112446936	0	0	0	0	0	0	0	0	0	0
LOC101907866	0	0	0	0	0	0	0	0	0	0
LOC112446952	0	0	0	0	0	0	0	0	0	0
LOC101907950	0	0	0	0	0	0	0	0	0	0
LOC112446968	0	0	0	0	0	0	0	0	0	0
LOC112446980	0	0	0	0	0	0	0	0	0	0
LOC785105	0	0	0	0	0	0	0	0	0	0
LOC112446981	0	0	0	0	0	0	0	0	0	0
LOC112446982	0	0	0	0	0	0	0	0	0	0
LOC112446983	0	0	0	0	0	0	0	0	0	0
LOC112446984	0	0	0	0	0	0	0	0	0	0
LOC112446985	0	0	0	0	0	0	0	0	0	0
LOC618359	0	0	0	0	0	0	0	0	0	0
LOC614544	0	0	0	0	0	0	0	0	0	0
LOC112446986	0	0	0	0	0	0	0	0	0	0
KRTAP13-1	0	0	0	0	0	0	0	0	0	0
LOC785121	0	0	0	0	0	0	0	0	0	0
LOC785155	0	0	0	0	0	0	0	0	0	0
KRTAP13-2	0	0	0	0	0	0	0	0	0	0
LOC112447012	0	0	0	0	0	0	0	0	0	0
KRTAP27-1	0	0	0	0	0	0	0	0	0	0
LOC528816	0	0	0	0	0	0	0	0	0	0
KRTAP24-1	0	0	0	0	0	0	0	0	0	0
CLDN8	0	0	0	0	0	0	0	0	0	0
CLDN17	0.549782765	0	0	0	0	0	0	0	0	0
GRIK1	0	0	0	0	0.026045492	0	0	0	0	0
LOC112448281	0	0	0	0	0	0	0	0	0	0
BACH1	51.3453982	39.60438843	59.78487611	24.99574549	29.72172804	27.74491933	24.11075541	59.24742727	42.28632659	29.7339637
LOC104970784	0	0.379614048	0.268006464	0.658278615	1.470940812	0	0	0.760912017	0	0
LOC112447173	0	0	0	0	0.560923282	0	0	0.270819223	0	0
MAP3K7CL	0.203741522	0.038925728	0.082444368	0	0	0	0	0.078024126	0.035746648	0
LOC100851369	0.379611909	0.181316378	0.096006645	1.021851688	0.376377094	1.016050801	0	0.817733369	0.666032779	0
CCT8	109.1671929	80.05201871	77.88783062	100.7557679	91.12152061	96.71028825	107.8160303	104.5932875	93.67009294	90.97538498
USP16	34.11127851	21.2737161	26.71903069	30.35166186	29.2596536	28.45535104	25.29196238	37.29991131	22.89207775	27.37806005
RWDD2B	16.00007818	15.22519011	15.65288533	15.22971492	15.10129244	15.87956623	12.81906247	17.51514708	17.57238464	14.40945854
LTN1	11.46449565	9.803464472	11.58634956	10.16238716	9.030480399	7.94196181	7.68468864	11.64911396	7.828964255	10.7425634
LOC615183	0	0.044134967	0.303801848	0.019133318	0.0366462	0.164880741	0	0	0.040530446	0
N6AMT1	1.404820125	0.77693915	1.121966354	1.16355093	1.026309884	0.329830994	2.516400979	0.991024814	2.497201738	1.795293068
LOC112448287	0	0	0	0	0	0	0	0	0	0
LOC104970788	0	0	0	0	0	0	0	0	0	0
LOC112447279	0	0	0	0	0	0	0	0	0	0
LOC526789	0	0	0	0	0	0	0	0.242641501	0	0
LOC112448320	0	0	0	0	0	0	0	0	0	0
LOC104970790	0	0	0	0	0.025524582	0	0	0	0	0
ADAMTS5	0	0	0	0	0	0	0	0	0	0
ADAMTS1	0.535324988	0	0.374919586	0.13642653	0.179642958	0.110217298	0	0.630788142	1.15597894	0.0615303
CYYR1	0.263287878	0.118358413	0.1410087	0.025655272	0.024568876	0.0829063	0	0.059310462	0	0.115708914
LOC112448359	0	0	0	0	0	0	0	0	0	0
LOC107132174	0	0	0	0	0	0	0	0	0	0
APP	51.94151747	52.07396438	42.7023878	34.86243544	38.11204766	52.77173002	52.20986574	62.97696996	26.80845803	35.48546389
TRNAR-CCU	0	0	0	0	0	0	0	0	0	0
LOC112448277	0	0	0	0	0	0	0	1.630173966	0	0
GABPA	23.30211605	17.13539884	16.04712782	17.40320963	14.65460006	17.14196137	18.80187559	27.87183151	16.15395086	15.64077041
ATP5PF	69.55997362	66.17271149	71.09964246	70.23699068	86.51340638	47.94688493	81.55977713	74.41059318	69.32282034	99.24296358
JAM2	1.98416357	1.433119848	0.68539843	1.883892644	0.921251483	1.77023862	1.114179748	2.965261253	2.632152722	1.229298653
TRNAQ-UUG	0	0	0	0	0	0	0	0	0	0
MRPL39	27.57609367	31.00510062	26.58012535	31.66617319	36.19672282	26.85277118	0	37.61573498	39.03427824	37.55834063
MIR155	0	0	0	0	0	0	0	0	0	0
LOC112448274	0	0	0	0	0	0	0	0	0	0
LOC112448280	0	0	0	0	0	0	0	0	0	0
NCAM2	0.379892687	0.362900975	0.187468596	0.076743527	0.117590003	0.23973388	0.537946244	0.150804872	0.081283586	0.304589289
TRNAC-GCA_1	0	0	0	0	0	0	0	0	0	0
LOC112448283	0	0	0	0	0	0	0	0	0	0
TMPRSS15	0	0	0	0	0	0	0	0	0	0
CHODL	0	0	0	0	0	0	0	0	0	0
C1H21orf91	39.31046366	43.56717228	49.05939545	33.18113057	22.7495407	26.72287234	26.3391786	48.79339956	26.55443733	22.6689274
LOC112448355	0	0	0	0	0	0	0	0	0	0
LOC112447286	0.467147988	0.765006088	0.74262674	0.994932518	0.211733598	1.369426156	2.070865753	0	0.234175909	1.146751067
BTG3	13.63664454	19.86135052	16.88833204	12.510201	10.76784945	13.42122335	10.65088546	21.01776246	16.36169437	13.8429981
CXADR	0	0.031186957	0	0	0	0	0	0.062512256	0	0
MIR125B-2	0	0	0	0	0	0	0	0	0	0
MIRLET7C	0	0	0	0	0	0	0	0	0	0
MIR99A	0	0	0	0	0	0	0	0	0	0
LOC112447287	0	0	0	0	0	0	0	0	0	0
USP25	37.51346504	32.36163988	34.91669033	25.95700178	26.23597044	23.05763944	23.1033021	44.75842357	19.24764759	22.8947153
LOC107132175	2.044478532	1.613375738	1.506228931	2.411185928	2.150442831	0.674105676	0	1.914814073	1.130702886	0.979561286
NRIP1	7.832907167	6.296300103	7.658255526	8.791957467	11.56400172	6.200068165	11.24715221	16.26722276	4.326084235	7.67189173
LOC104976614	1.048091844	0	0	0	0.55421902	0	0	0.167238963	0.919443657	0
LOC112447289	0	0	0	0	0	0	0	0.292522506	0.268037582	1.141365628
SAMSN1	147.2508197	142.5000047	163.1668525	98.7850611	82.41034441	142.5387987	130.5327707	137.1090783	187.9520182	117.8890909
LOC112447288	8.058605409	6.432017628	6.436043994	5.313324628	2.144666769	8.797992488	4.935521644	5.684911386	6.278788459	5.228475871
HSPA13	17.88561049	15.83052351	14.53491414	17.27114371	11.69886973	14.33127624	23.41877664	15.58159514	13.0875924	14.66078357
LOC518080	0.229186683	0.35366536	0.945242743	0.262835008	0.559344487	0.188747676	0.811778731	0.506356811	0.092794676	0.079028211
RBM11	20.64331454	13.49482185	11.59204818	6.810201437	4.058790512	28.60195674	5.42866354	30.94362886	2.954295522	2.581364876
LIPI	0.169942541	0.081170704	0	0	0	0.75809992	0	0	0	0
ROBO2	0	0.018555359	0.52072626	0	0.007703454	0	0	0	0	0.19591189
TRNAG-UCC	0	0	0	0	0	0	0	0	0	0
ROBO1	0	0.010307391	0.076408389	0	0	0	0	0	0	0
LOC100848584	0	0	0	0	0	0	0	0	0	0
TRNAC-GCA_2	0	0	0	0	0	0	0	0	0	0
TRNAC-ACA	0	0	0	0	0	0	0	0	0	0
TRNAS-GGA	0	0	0	0	0	0	0	0	0	0
GBE1	33.95038588	34.39400173	18.04172436	24.97885647	25.44065019	20.68670278	33.62845857	43.39512081	21.36277638	24.0514529
TRNAC-GCA_3	0	0	0	0	0	0	0	0	0	0
LOC112446987	0	0	0	0	0	0	0	0	0	0
LOC112448288	0	0	0	0	0	0	0	0	0	0
LOC112446988	0	0	0	0	0	0	0	0	0	0
CADM2	0	0	0	0.03060041	0	0	0	0	0	0.020701829
VGLL3	0	0.015135634	0	0	0.012567438	0	0	0	0	0
LOC101902812	0	0	0.419703887	0	0	0	0	0	0	0
CHMP2B	35.17643981	24.80879117	23.3371446	26.22752666	24.88959583	35.12306657	29.5461852	52.26545501	20.96003524	23.89883482
POU1F1	0	0	0.052351809	0	0	0	0	0	0	0
HTR1F	0	0	0	0	0	0	0	0.014112281	0	0
CGGBP1	99.92944832	83.18690452	70.94700706	83.97672296	77.53863606	78.20489032	87.02968149	94.32337171	62.33143822	67.64451383
ZNF654	9.491947537	6.496213924	7.662589822	8.128097357	7.500511023	7.639769185	8.607321292	8.905071595	7.219395509	5.623399785
LOC104970809	0.172212001	0.361920594	0.278743565	0.057054261	0	0.061457904	0.655059605	0.131899386	0	0.154393685
C1H3orf38	6.788202908	5.515126613	6.076245318	7.284799519	4.305044115	4.835670153	6.712212986	6.693286076	5.01854129	4.116763456
LOC101904492	1.190083335	0.777847261	1.330652096	1.089451108	0.248408882	2.794139703	1.567464055	1.199342275	1.208849494	0.421163917
LOC112447291	0	0	0.678730985	0	0.177389663	0	0.582052452	0	0	0.200503097
EPHA3	0	0.027091904	0	0	0	0	0	0	0	0.127130117
PROS1	0.073627499	0.140668626	1.191739912	0	0	0.065689263	0	0	0.258360322	0.220031527
ARL13B	5.160378678	3.791974619	3.541104343	5.260449792	5.55290966	3.831305964	10.83678853	4.6986578	1.741141247	4.691153641
STX19	0.649558155	0.35457425	0.093873164	0	0.110403948	0.869287908	1.207527865	0	0.081404006	0.277309575
NSUN3	7.090301861	3.751804528	7.207918606	6.505904355	6.395814895	5.240534711	7.967165693	5.124419231	4.421079655	6.829284104
LOC782966	234.0902333	153.6642772	110.5881912	98.69843722	100.4016795	191.3916191	110.8610398	147.0835178	107.2163663	99.41237836
EPHA6	0	0	0	0	0	0	0	0	0	0
LOC112448282	0	0	0	0	0	0	0	0	0	3.090301276
LOC112448361	0	0	0	0	0	0	0	0	0	0
ARL6	1.032781455	0.390046243	0.413057347	0.815621207	0.381016089	0.150000378	0	0.574869619	0.716382012	0.933100007
LOC101905242	40.13374743	22.47438616	24.94574948	21.8828056	37.82087599	39.39857246	34.12888737	25.6559445	33.6623669	35.06006653
CRYBG3	0.410002595	0.623465362	0.871864923	0.443542436	0.524313404	0.447915525	0.452291155	0.496674186	0.278933003	0.44384747
RIOX2	3.38671206	3.652681682	6.962714454	4.976728481	6.239106806	4.418639531	4.337865641	2.858897283	6.644838658	5.849498844
GABRR3	0	0	0	0	0	0	0	0	0	0
LOC783514	0	0	0	0	0	0	0	0	0	0
LOC101905600	0	0	0	0	0	0	0	0	0	0
LOC100140741	0	0	0	0	0	0	0	0	0	0
LOC783578	0	0	0	0	0	0	0	0	0	0
LOC783655	0	0	0	0	0	0	0	0	0	0
OR5AC2	0	0	0	0	0	0	0	0	0	0
OR5H6	0	0	0	0	0	0	0	0	0	0
OR5K3	0	0	0	0	0	0	0	0	0	0
LOC783812	0	0	0	0	0	0	0	0	0	0
LOC783843	0	0	0	0	0	0	0	0	0	0
LOC783884	0	0	0	0	0	0	0	0	0	0
LOC100139155	0	0	0	0	0	0	0	0	0	0
LOC783917	0	0	0	0	0	0	0	0	0	0
LOC783995	0	0	0	0	0	0	0	0	0	0
LOC789957	0	0	0	0	0	0	0	0	0	0
OR5K4	0	0	0	0	0.148620699	0	0	0	0	0
LOC785903	0	0	0	0	0	0	0	0	0	0
LOC112448299	0	0	0	0	0	0	0	0	0	0
LOC785875	0	0	0	0	0	0	0	0	0	0
LOC785848	0	0	0	0	0	0	0	0	0	0
OR5K1	0	0.162814707	0	0.282332649	0	0	0	0	0	0
CLDND1	51.43615667	39.98206248	38.77396835	46.58769164	29.80906585	40.85735407	56.01348372	42.45353946	48.32486841	33.22205436
LOC100848517	3.290066767	1.475243363	2.377377404	3.114306382	1.491214116	0.59904986	4.570369925	1.542798638	0.942441482	1.00328311
GPR15	33.78980608	17.26313558	15.93291239	22.26975788	12.84082837	17.46662215	26.91439532	14.80833699	34.51384245	11.69648628
LOC112448337	0	0	0	0	0	0	0	0	0	0
CPOX	24.40693979	21.96481561	16.99331268	28.17041271	24.86680094	17.39812356	29.34257036	17.39586542	12.14633463	16.71253686
LOC100848540	18.21647692	4.800467999	7.943243169	4.57840007	6.975378351	10.19981084	4.275718569	11.66695422	2.865467674	0.28158046
LOC112448314	0	0	0	0	0	0	0	0	0	0
ST3GAL6	37.50987085	33.94318077	42.42391244	28.91344657	27.24267677	33.15357021	21.27074553	31.45542965	28.32880602	25.05797458
DCBLD2	2.495016641	1.449565611	2.332146768	2.743265684	1.782261397	1.835484784	0.75947676	2.528397108	1.855970711	1.079188738
LOC104970815	0.244603489	0.584157368	0.742344265	0.202594348	0	1.09115637	0	0.351271796	1.931216385	0
LOC112447292	0	0	0	0	0	0	0	0	0	0
COL8A1	0	0	0	0	0	0	0	0	0	0.025651679
CMSS1	2.381562457	3.441728293	2.100379353	5.96820941	3.584284148	3.432355457	11.858586	3.566289354	3.696342782	4.425414724
FILIP1L	0.0808206	0.154411367	0.919805596	0.267760641	0.064105518	0.108160247	0	1.238030735	0.248150923	0.120763847
TMEM30C	0.237000949	0	5.993928359	0.196297497	0.1879851	0	0	0.113451296	0.935596046	2.036257976
TBC1D23	69.21613314	60.46082988	69.17469379	38.69358756	38.07740481	47.83325081	25.03415516	77.5242723	45.06901955	33.26400931
NIT2	20.90432547	21.62866596	23.9347713	18.80245764	26.08293262	23.99448385	15.40911385	17.71979057	36.88702444	18.88461157
TOMM70	38.78495136	34.98541489	28.60958203	52.36860887	41.65898783	36.08115531	53.94878359	51.7532354	31.5965122	32.91565956
LNP1	3.493867674	1.641440234	1.62239315	1.850145578	2.612268453	1.5330355	2.723353616	3.317579708	2.738412696	2.610305428
LOC529036	0.068454607	0	0	0	0	0	0	0	0	0
TMEM45A	0.571272645	0.218288382	0	0	0.362498955	0	0	0.109386266	1.052418571	0
ADGRG7	0	0	0	0	0	0	0	0	0	0.167555977
TFG	43.35101879	37.85016543	32.5391701	28.01764631	33.95769779	42.60490478	56.1203524	43.18123722	41.34026564	32.89144432
ABI3BP	0.044087658	0.08423144	0	0.06085979	0	0	0	0.09848797	0.077352223	0
IMPG2	7.373545842	4.579404057	5.363295452	3.339603812	2.827614655	4.865958372	3.476959878	3.121290353	3.617358712	1.919752134
SENP7	25.92028688	15.39103967	19.60078314	15.77608733	9.423687878	16.39287319	6.482226301	13.42469769	8.862183894	12.21782681
LOC524181	8.614848881	8.182768156	9.507310536	5.898786348	4.969564239	6.681604515	4.28723074	10.28629308	6.204811933	5.558574843
TRMT10C	24.97961707	18.04447213	15.40273723	19.86194097	17.24709742	16.8952213	20.47994273	18.90444551	16.02815292	20.86649224
PCNP	104.1534344	87.35874381	86.08647935	88.00909504	91.40765413	90.37538878	90.97607063	99.67958296	70.76077273	78.65657871
ZBTB11	25.56703629	18.42173475	27.32326588	19.51863789	15.5708413	19.43929014	15.2078384	15.80826081	16.338606	16.0779188
RPL24	747.675624	740.5349173	761.0396197	1231.94314	1055.688157	1078.690057	1133.307804	892.8678785	845.4965809	1002.810055
CEP97	10.97198484	4.692044443	9.764666347	4.371769806	3.28535197	5.962803915	3.277762371	5.603169356	4.39459137	3.185804804
NXPE3	50.16930444	42.19778384	58.66142846	24.7423059	30.04673175	36.38659821	28.24843653	55.1511996	39.29046282	24.77168778
NFKBIZ	80.02589869	84.89273209	95.34883055	25.18506416	29.00587004	78.01244437	16.72319834	53.18762684	34.84886678	28.06957457
LOC112448293	3.309069848	0	0	0	0	0	0	0	0	0
LOC112446989	2.873045687	1.073950854	0.505470882	2.379617804	3.566896768	1.114471677	0	4.185738708	3.287469487	3.173061481
ZPLD1	0.465200801	0	0.047061082	0.327509617	0.018449466	0	0	0.200420592	0.306074745	0.034755643
TRNAF-AAA	0	0	0	0	0	0	0	0	0	0
LOC112448303	0	0	0	0	0	0	0	0	0	0
ALCAM	7.002366587	5.870085416	6.885020011	6.465541305	7.353591107	4.828983753	9.190850552	11.32155653	4.027334285	5.658606663
LOC112447293	0	0	0	0	0	0.821805795	0	0	0	0
CBLB	15.41577054	10.37343718	8.054309494	12.64513994	14.4667833	8.892955226	13.38608106	11.43964567	9.113467023	11.77630821
LOC112446991	0	0	0	0	0	0	0	0	0	0
LOC100848469	1.103280278	0.468414725	0.041337437	0.236910772	0.810280603	0.291652979	0	0.508574776	0.322619326	0.366343264
MIR2286	0	0	0	0	0	0	0	0	0	0
CCDC54	0	0	7.029123323	0	0.76545657	0	0	0	0	1.634254703
BBX	21.80964179	18.72703835	14.62520942	17.13215703	14.53765366	14.49486433	17.82339166	16.01223103	11.61012408	15.18234204
LOC101910021	0	0.030427957	0.128892321	0.105528622	0	0.028418421	0.701458669	0	0	0.237974526
LOC112447295	0.696876961	0.697407631	0.839263384	0.439765821	0.171089561	0.71056268	0	0.460674516	0.567671647	0.1115666
LOC112447294	0.99859245	0.732084083	0.563835634	0.211581253	0.110520901	0.414385125	0	0.466904964	0.325960958	0.364354377
LOC112447296	2.68312928	1.001483653	1.276275566	0.75058435	0.126847089	0.428038423	0.106720957	0.561394256	0.561168044	0.199131876
CD47	210.3096991	161.8469251	151.8137769	104.2878487	100.3440881	138.9054701	124.9337111	215.6204662	121.122039	99.88130283
LOC112447297	0	0.455261775	0	0	0	0	0	0.456271518	0	0
IFT57	20.14360122	11.08542529	21.92834914	17.72681577	20.23245377	17.14157616	29.31412178	22.37724132	11.90876587	17.74859175
HHLA2	0.029455946	0.014069225	0.16389176	0	0.011681976	0.052560236	0	0.253807737	0.129201858	0.033010272
MYH15	0.14727973	0.098484576	0.461876777	0.085389741	0.128501739	0.105120473	0.530736905	0.084602579	0	0.176054785
CIP2A	7.072057107	3.981061382	6.164196927	5.609055207	5.847334909	5.08427797	8.137833186	7.375253304	3.628230051	5.201052149
DZIP3	4.497720306	2.075697075	3.750697295	1.761949461	1.88017674	3.307843087	3.543973487	3.389581095	1.013071519	2.542925438
TRAT1	53.20725323	43.0616753	35.15375217	40.06795867	22.59463768	30.40856294	49.19169109	34.95955141	30.51351238	28.05270297
MORC1	0	0	0	0	0	0	0	0	0	0
C1H3orf85	0	0	0	0	0	0	0	0	0	0
DPPA2	0	0	0	0	0	0	0	0	0	0
DPPA4	0	0	0	0.047208368	0	0	0	0	0	0
LOC112446992	0	0	0	0	0	0	0	0	0	0
LOC614129	10.57607268	12.44479152	9.140262	11.48622573	7.666548885	12.24779448	13.25083032	7.376146577	8.540593654	10.62254039
LOC112448372	0	0	0	0	0	0	0	0	0	0
LOC112446993	0	0	0	0	0	0	0	0	0	0
TRNAE-UUC	0	0	0	0	0	0	0	0	0	0
LOC112448254	0	0	0	0	0	0	0	0	0	0
NECTIN3	0.181862812	0.161319334	0.841041248	0.156008602	0.082428842	0.110101646	0.143035013	0.018655054	0.062676442	0.378499533
CD96	67.56004869	96.11091261	42.44974815	56.8292587	50.02140242	37.83510372	68.64116958	67.6285011	46.33373162	80.28160224
ZBED2	0	0.049246424	0.078227636	0.021349228	0.204451755	0.114985173	0	0	0	0.077030437
LOC104970843	0.427063398	0.135987283	0	0.176858946	0.169369692	0.063503175	0	0	0.062440573	0
PLCXD2	0.613457566	0.705393293	0.425220258	1.129111136	0.720865262	0.597994402	1.444203182	0.489432331	0.169420309	0.449833206
PHLDB2	0.02539541	0.024259533	0.089917605	0	0	0	0	0	0	0.037946358
LOC112447299	0	0	0	0	0	0	0	0	0	0
LOC112447298	0	0	0	0	0	0	0	0	0	0
ABHD10	19.77697277	11.22849893	13.21214847	9.787031226	11.5924145	16.64593866	8.279767576	13.63507565	26.29695805	12.22005943
TAGLN3	0	0	0	0	0.135320014	0	0	0	0	0
LOC112447300	0.252346334	0.241059472	0	0	0	0	0	0	0	0
TMPRSS7	0	0.148722888	0	0	0	0	0	0.074526373	0	0
C1H3orf52	0.039535776	0.377674331	0.279968881	0.458440502	0.156795507	0	0	0	0.416195416	0.177225574
GCSAM	16.56542159	19.88949536	16.4505805	19.13305238	14.58594961	13.42349265	23.12349053	23.71662973	16.13196032	16.57729724
SLC9C1	0.013547096	0	0.520776349	0.022440931	0.075217273	0.0120865	0	0.012969869	0	0.070848248
CD200	1.343371633	0.641642881	1.806031871	0.863772295	0.448648172	0.394254745	0	0.490760899	1.007909915	0.422588266
LOC104970846	0	0	0	0	0	0	0	0	0	0
BTLA	14.73766805	6.113951756	9.004972236	30.54687669	15.96874547	12.40485513	13.91781842	28.68896481	10.32574309	12.69616058
ATG3	126.365509	126.7164057	139.8557252	98.65387879	124.0652673	119.1122643	104.8761097	163.4230815	107.0460032	112.71889
SLC35A5	24.93111718	21.59337557	18.97034617	17.38221061	16.27948984	16.24931429	24.66297687	33.85597196	20.4786647	17.11823819
